
id;pos_x;pos_y;pos_z;degree;isAtSampleBorder
248;0.389768;0.29331;0.0118111;1;0
249;0.326381;0.324413;0.0118111;1;0
250;0.307877;0.347248;0.0118111;1;0
251;0.170868;0.361815;0.0118111;1;0
252;0.268507;0.188191;0.0122048;1;0
253;0.311814;0.216538;0.0122048;1;0
254;0.299609;0.248034;0.0122048;1;0
255;0.377957;0.281499;0.0122048;1;0
256;0.383862;0.296853;0.0122048;1;0
257;0.312995;0.318507;0.0122048;1;0
258;0.200789;0.329137;0.0122048;1;0
259;0.315751;0.337799;0.0122048;1;0
260;0.240947;0.374413;0.0122048;1;0
261;0.328743;0.374807;0.0122048;1;0
262;0.284648;0.389768;0.0122048;1;0
263;0.262207;0.400791;0.0122048;1;0
264;0.255514;0.168506;0.0125985;1;0
265;0.221656;0.238191;0.0125985;1;0
266;0.323625;0.259058;0.0125985;1;0
267;0.394492;0.303546;0.0125985;1;0
268;0.305121;0.321657;0.0125985;1;0
269;0.162994;0.363389;0.0125985;1;0
270;0.264963;0.374019;0.0125985;1;0
271;0.278743;0.188191;0.0129923;1;0
272;0.320869;0.220868;0.0129923;1;0
273;0.173624;0.292129;0.0129923;1;0
274;0.268113;0.364571;0.0129923;1;0
275;0.278743;0.394492;0.0129923;1;0
276;0.283861;0.15945;0.013386;1;0
277;0.333468;0.307483;0.013386;1;0
278;0.263782;0.324019;0.013386;1;0
279;0.288586;0.374807;0.013386;1;0
280;0.292916;0.172443;0.0137797;1;0
281;0.350397;0.210632;0.0137797;1;0
282;0.344492;0.223231;0.0137797;1;0
283;0.164175;0.298428;0.0137797;1;0
284;0.386224;0.325594;0.0137797;1;0
285;0.224805;0.338192;0.0137797;1;0
286;0.226774;0.354728;0.0137797;1;0
287;0.177167;0.383075;0.0137797;1;0
288;0.188585;0.19134;0.0141734;1;0
289;0.366933;0.274018;0.0141734;1;0
290;0.342523;0.282286;0.0141734;1;0
291;0.283861;0.304727;0.0141734;1;0
292;0.150789;0.308271;0.0141734;1;0
293;0.388193;0.323232;0.0141734;1;0
294;0.329137;0.33583;0.0141734;1;0
295;0.230317;0.341736;0.0141734;1;0
296;0.207876;0.355909;0.0141734;1;0
297;0.33898;0.366933;0.0141734;1;0
298;0.173624;0.29646;0.0145671;1;0
299;0.289373;0.351578;0.0145671;1;0
300;0.244491;0.363389;0.0145671;1;0
301;0.298034;0.365752;0.0145671;1;0
302;0.287404;0.368114;0.0145671;1;0
303;0.312995;0.149608;0.0149608;1;0
304;0.355515;0.150001;0.0149608;1;0
305;0.286617;0.161813;0.0149608;1;0
306;0.210632;0.231498;0.0149608;1;0
307;0.323232;0.238585;0.0149608;1;0
308;0.261026;0.39213;0.0149608;1;0
309;0.204726;0.240554;0.0153545;1;0
310;0.285042;0.257877;0.0153545;1;0
311;0.374807;0.283861;0.0153545;1;0
312;0.253152;0.287011;0.0153545;1;0
313;0.359846;0.287798;0.0153545;1;0
314;0.260633;0.385043;0.0153545;1;0
315;0.306696;0.400791;0.0153545;1;0
316;0.369689;0.208663;0.0157482;1;0
317;0.226774;0.224018;0.0157482;1;0
318;0.234648;0.235435;0.0157482;1;0
319;0.379138;0.315751;0.0157482;1;0
320;0.358271;0.321657;0.0157482;1;0
321;0.239372;0.322444;0.0157482;1;0
322;0.29646;0.374019;0.0157482;1;0
323;0.230317;0.256302;0.0161419;1;0
324;0.170868;0.283467;0.0161419;1;0
325;0.379138;0.285042;0.0161419;1;0
326;0.357878;0.291735;0.0161419;1;0
327;0.372051;0.291735;0.0161419;1;0
328;0.352759;0.292523;0.0161419;1;0
329;0.14882;0.294097;0.0161419;1;0
330;0.372445;0.296853;0.0161419;1;0
331;0.387405;0.324413;0.0161419;1;0
332;0.128348;0.340161;0.0161419;1;0
333;0.346854;0.342523;0.0161419;1;0
334;0.157088;0.385831;0.0161419;1;0
335;0.331106;0.20512;0.0165356;1;0
336;0.205514;0.262995;0.0165356;1;0
337;0.390161;0.281105;0.0165356;1;0
338;0.32835;0.322838;0.0165356;1;0
339;0.367326;0.331893;0.0165356;1;0
340;0.248034;0.352366;0.0165356;1;0
341;0.344885;0.362602;0.0165356;1;0
342;0.224805;0.3815;0.0165356;1;0
343;0.323232;0.145671;0.0169293;1;0
344;0.215356;0.230711;0.0169293;1;0
